제목,아이디,댓글 제목,내용,작성일자
경복궁,Curious34716201507,시험 한 달 전 최고의 선택,"외국인 친구들과 방문했는데 너무 좋았어요!다음에는 부모님과 함께 방문하고 싶습니다.여자친구랑도 가고 싶어요!날이 더울 때도 좋았습니다만, 날이 추울 때 역시 가보고 싶어요!",2023년 6월 30일
경복궁,Choe Tae Hyun,멋진 경복궁! 화려하고 고급스러운 아름다움,"경복궁은 우리나라의 역사를 바탕으로 생긴 아름다운 건축물로서, 매력적인 고급스러운 아름다움을 자랑합니다. 건축물 자체는 놀라운 정갈함과 화려함으로 이루어져 있으며, 오래된 역사와 전통을 느끼게 해줍니다. 경복궁은 정갈하고 고급스러운 디자인과 아름다운 건축물을 보여주기 때문에, 방문객들과 관람객들에게 절경을 선사합니다. 각종 건물들의 외관과 정원들을 보면서 멋진 모습을 느끼고, 오래된 역사를 깊이 생각해 볼 수 있습니다. 경복궁은 정갈하고 화려한 건축물과 고급스러운 아름다움을 자랑하고 있으며, 방문객들과 관람객들에게 매력적인 아름다움을 선사합니다. 놀라운 건축물과 고급스러운 아름다움이 만나는 곳, 경복궁!",2023년 5월 13일
경복궁,Choy J,웅장한,"경복궁은 한국의 대표적인 건축물 중 하나로, 전통적인 한국 아름다운 문화를 반영하고 있습니다. 이곳은 전통적인 아름다운 건축 디자인, 역사적 의미, 그리고 그 모든 것을 둘러싸고 있는 거대하고 고급스러운 환경으로 인상적인 경험을 제공합니다. 경복궁은 멋진 외관과 전문적인 건축 기술로 건축되었으며, 그 모든 것이 새로운 경험을 제공하는 거대하고 고급스러운 모나먼트로 만들어졌습니다. 이곳에서는 다양한 건축물과 역사적 의미가 담긴 매력적인 광장이 있습니다. 경복궁은 이러한 전통적인 아름다운 문화를 반영하고 있는 거대하고 고급스러운 건축물로, 훌륭한 경험을 제공합니다.",2023년 5월 1일 
경복궁,Escape,어메이징 팰리스,"경복궁은 거대한 명승과 대단한 역사가 자랑하는 거대한 건물입니다. 그곳에서 우리는 고대 명승의 거대함과 그 역사의 거대함을 느낄 수 있습니다. 경복궁의 모든 건물들은 매력적이며 거대하고 절경입니다. 그곳은 고대 명승의 멋진 모습과 그 역사의 거대함을 느낄 수 있는 곳입니다. 또한 그곳에는 여러 가지 전통적인 의상과 문화가 있습니다. 경복궁은 마련했던 거대하고 절경이며 독특한 모습으로 우리를 아름답게 이끌어줍니다. 또한 그곳에서는 역사적인 장소들을 방문하고 여러 가지 전통적인 이벤트들을 즐길 수 있습니다. 경복궁은 거대하고 멋진 명승과 역사, 그리고 전통적인 문화를 자랑하는 대단한 건물입니다.",2023년 4월 14일
경복궁,Jin,아름다운,"경복궁은 한국의 역사적이고 근대적인 중심지로 생각됩니다. 생기 넘치는 분위기와 왕궁의 영광을 느끼기 위해 방문할 수 있는 곳입니다. 고궁 안에는 매우 아름다운 정원과 함께 역사적이고 장엄한 건축물들이 있습니다. 또한, 다양한 관광 프로그램들이 있어 관광객들이 더욱 즐길 수 있는 장소로 바뀌고 있습니다. 경복궁은 매력적이고 화려하고 역사적인 장소로 많은 사람들이 방문하고 있습니다. 놀라운 경험을 제공하는 이 장소를 방문해보세요!",2023년 4월 6일 
경복궁,Seaside13187149615,사람이 너무 많지 않을때 가세요 정말 멋있습니다.,우리나라의 운치가 잘 느껴져요. ㄱ종종 가서 산책하기 좋습니다. 주변에 먹을거리와 볼거리가 다양해서 좋습니다. 외국인친구가 놀러온다면 자신있게 데려가고픈 곳 중 한곳입니다.,2023년 3월 22일
경복궁,당근이싫은토끼,good,여름에는 가지마세요. 너무 더워요 하지만 정말 유익했습니다. 아이와 가도 좋을것 같네요. 박물관도 있어서 좋아요. 근데 그늘이 너무 없어요.,2022년 9월 1일 
경복궁,George_Korean,대한민국의 역사,대한민국의 역사가 잠들어 있는 곳. 서울을 방문했다면 꼭 방문해야 되는 곳. 경복궁은 우리의 역사다. 넓은 경복궁을 산책할 수 있는 것은 언제나 행복이다.,2020년 10월 21
경복궁,hshdsc408,국민이 공감하는 장소,경복궁은 국민들이 자주 찾는곳으로 작성자는 주말에 자주 가족들과 방문하고 있음.특히 가족들과 방문시 옛고궁의 멋을 즐길수 있으며 쾌적한 공기와역사를 체험하고 힐링할수 있는곳임.,2020년 9월 3일 
경복궁,예솔 정,산책하기 좋은 경복궁,날씨 좋은 날 종종 산책하러 경복궁에 가는데 마음이 편온해지는 기분이라고 할까요? 특히 봄이나 가을에 산책가는 걸 추천해요!,2020년 4월 27일
경복궁,그미냐,Good,Goooooood 다 좋습니다 다음에 또 오고 싶네요 근처 관광지도많고 먹을거리도많네요 서울올때마다 자주이용중인데 또오고싶습니다,2020년 4월 17일
경복궁,JONGHYUK MUN,가족단위로 방문하기 좋은곳,요새 더더욱 코로나로 인해 사람 방문이 적음. 두자녀 동반시 성인 입장무료. 지금 시기에 나들이 하기 딱 좋은곳. 지하철 광화문역이나 종각역이용 편리.,2020년 4월 10일
경복궁,teamwhite,하늘이 내린 큰 복,"조선 개국 4년째인 1395년에 처음으로 세운 으뜸 궁궐이다.'하늘이 내린 큰 복' 이라는 뜻으로 경복궁이라 이름지었다.가장 아름답고 웅장한 이 경복궁은 임진왜란, 일제강점기 2번에 걸쳐 일본의 악랄하고 잔인한 파괴를 당한 악연을 갖고있다.향원정은 보수 공사로 인해 볼 수 없지만 아름다운 경회루만으로도 충분한 경복궁이다.",2020년 3월 31일
경복궁,gyoung L,굿,"한국 건축물의 아름다움을 느낄 수 있는 곳이고, 한복을 입었을 때 입장료는 무료.주변에 한복 대여점이 많으니 한번쯤 대여해서 입어보는것도 나쁘지 않을듯",2020년 3월 13일
경복궁,Relax825963,조선의 집,"조선의 성곽 안에는 박물관도 있고 경회루 등 볼것이 많다. 외국인들 및 연인들도 주변에서 한복 및 특수복장 빌려서 성을 둘러보며 데이트를 즐기기에 딱 좋다. 야간개장도 하니 잘 알아보고 올것 한국사람이라면 한번이상은 꼭와봤고 , 외국인들에게도 좋은 관광지라고 생각한다. 앞에 광화문 광장 청계천 뒤로 삼청동  이주변에 연계된 명소들도 많기 때문에 꼭 추천한다.",2020년 2월 20일
